,count,mean,std,min,25%,50%,75%,max
0,400,61.8075,5.5296,39.0,58.0,62.0,66.0,79.0
1,400,62.75,5.1238,51.0,59.0,63.0,66.0,79.0
2,400,63.62,5.0779,52.0,60.0,63.0,66.0,82.0
3,401,64.4289,5.2212,53.0,60.0,64.0,67.0,82.0
4,401,65.1845,5.3573,56.0,62.0,65.0,67.0,83.0
5,401,66.01,5.721,58.0,62.0,65.0,68.0,84.0
6,401,66.7656,6.3608,58.0,62.0,66.0,69.0,86.0
7,401,67.596,6.7913,59.0,63.0,66.0,70.0,87.0
8,401,68.3915,7.2235,59.0,63.0,66.0,70.0,87.0
9,401,69.0873,7.7502,60.0,64.0,67.0,70.0,87.0
10,401,69.803,8.1847,60.0,64.0,67.0,73.0,87.0
11,401,70.5187,8.4033,60.0,65.0,67.0,77.0,87.0
12,401,71.2968,8.502,61.0,65.0,67.0,78.0,88.0
13,402,72.0224,8.7715,62.0,65.0,68.0,79.0,88.0
14,402,72.7015,9.0264,62.0,66.0,68.0,81.0,88.0
15,402,73.4925,9.2419,62.0,66.0,68.0,85.75,88.0
16,402,74.1766,9.3724,63.0,66.0,68.0,86.0,88.0
17,404,74.7995,9.3973,64.0,67.0,69.5,87.0,88.0
18,404,75.5272,9.5177,64.0,67.0,70.0,87.0,88.0
19,405,76.2889,9.6697,65.0,67.0,70.0,87.0,88.0
20,405,76.9877,9.7164,65.0,67.0,78.0,87.0,88.0
21,405,77.6519,9.7683,65.0,67.0,81.0,87.0,88.0
22,405,78.3654,9.7027,65.0,67.0,84.0,88.0,88.0
23,405,79.0568,9.5557,65.0,68.0,87.0,88.0,88.0
24,405,79.7605,9.5251,65.0,68.0,87.0,88.0,88.0
25,405,80.4593,9.3754,66.0,68.0,87.0,88.0,88.0
26,405,81.1506,9.096,66.0,69.0,87.0,88.0,89.0
27,405,81.8247,8.8528,66.0,71.0,87.0,88.0,89.0
28,405,82.4444,8.4117,67.0,75.0,87.0,88.0,89.0
29,405,83.1185,8.0112,67.0,80.0,88.0,88.0,89.0
30,405,83.8346,7.6795,67.0,87.0,88.0,88.0,89.0
31,405,84.5136,7.2013,67.0,87.0,88.0,88.0,89.0
32,405,85.1753,6.4797,67.0,87.0,88.0,88.0,89.0
33,405,85.8444,5.6158,67.0,87.0,88.0,88.0,89.0
34,405,86.5654,4.4028,67.0,87.0,88.0,88.0,89.0
35,405,87.2494,3.2088,68.0,88.0,88.0,89.0,89.0
36,406,87.7365,2.3907,61.0,88.0,88.0,89.0,89.0
37,407,88.1425,1.5116,61.0,88.0,88.0,89.0,89.0
38,400,61.65,5.626,39.0,58.0,62.0,65.0,79.0
39,401,62.5312,5.5973,50.0,58.0,62.0,66.0,94.0
40,401,63.2494,5.5541,53.0,59.0,63.0,66.0,94.0
41,401,64.0524,5.6089,54.0,60.0,64.0,67.0,94.0
42,401,64.7656,5.6542,55.0,60.0,64.0,68.0,94.0
43,401,65.4264,5.6511,55.0,62.0,64.0,68.0,94.0
44,401,66.1621,5.9039,57.0,62.0,65.0,69.0,94.0
45,401,66.8404,6.0823,57.0,63.0,65.0,70.0,94.0
46,405,67.5062,6.2357,60.0,63.0,66.0,71.0,94.0
47,405,68.1877,6.478,60.0,63.0,67.0,71.0,94.0
48,406,68.8793,6.9785,60.0,64.0,67.0,72.0,94.0
49,406,69.6084,7.353,62.0,64.0,67.0,73.0,94.0
50,407,70.3145,7.6654,62.0,64.0,67.0,73.0,94.0
51,407,71.0737,8.0979,62.0,65.0,69.0,73.0,94.0
52,407,71.6953,8.3734,63.0,65.0,70.0,75.5,94.0
53,407,72.3833,8.4949,63.0,66.0,70.0,77.0,94.0
54,407,73.0221,8.6615,63.0,66.0,70.0,78.0,94.0
55,407,73.7715,8.6934,63.0,67.0,70.0,79.0,94.0
56,407,74.5455,9.049,64.0,67.0,71.0,79.0,94.0
57,408,75.152,9.0934,64.0,67.0,73.0,86.0,94.0
58,409,75.7677,9.2369,64.0,68.0,73.0,88.0,94.0
59,409,76.4963,9.3271,65.0,69.0,73.0,88.0,94.0
