generation,continent,pool
1,0,-33020*1 -32348*1 -32336*1 -31644*1 -30936*1 -30756*1 -30688*1 -30580*1 -30540*1 -30396*1 -30356*1 -30336*1 -30224*1 -30220*1 -30168*1 -30124*2 -30100*1 -30080*1 -30068*1 -30012*1 -29768*1 -29668*1 -29600*1 -29592*1 -29524*1 -29512*1 -29492*1 -29344*1 -29236*1 -29056*1 -29016*1 -28948*1 -28932*1 -28832*1 -28804*1 -28756*1 -28692*1 -28668*1 -28572*1 -28560*1 -28556*1 -28548*1 -28520*1 -28416*1 -28324*1 -28316*1 -28312*1 -28300*1 -28264*1 -28176*1 -28140*1 -28136*1 -28100*1 -28092*1 -28068*1 -28024*1 -27692*1 -27668*1 -27592*1 -27516*1 -27468*1 -27332*1 -27052*1 -26836*1 -26536*1 -25192*1
2,0,-33020*1 -32348*1 -32336*1 -30868*1 -30756*1 -30688*1 -30580*1 -30540*1 -30396*1 -30344*1 -30336*1 -30220*1 -30168*1 -30124*2 -30100*1 -30080*1 -30044*1 -30028*1 -30012*1 -29768*1 -29600*1 -29564*1 -29524*1 -29512*1 -29492*1 -29344*1 -29188*1 -29056*1 -29016*1 -28996*1 -28968*1 -28948*1 -28804*1 -28756*1 -28692*1 -28668*1 -28572*1 -28560*1 -28556*1 -28520*1 -28488*1 -28324*1 -28316*1 -28312*1 -28300*1 -28268*1 -28264*1 -28176*1 -28156*1 -28140*1 -28136*1 -28100*1 -28092*1 -28068*1 -27736*1 -27692*1 -27516*2 -27332*1 -27280*1 -27156*1 -27052*1 -26952*1 -26420*1 -26136*1 -25192*1
3,0,-32336*2 -31788*1 -30756*1 -30580*1 -30484*1 -30344*2 -30336*1 -30220*1 -30168*1 -30124*2 -30100*1 -30080*1 -30044*1 -30028*1 -30012*1 -29956*1 -29600*1 -29564*1 -29512*1 -29500*1 -29492*1 -29056*1 -29024*1 -29016*1 -28996*1 -28980*1 -28968*2 -28948*1 -28756*1 -28692*1 -28668*1 -28636*1 -28572*1 -28560*1 -28556*1 -28520*1 -28504*1 -28488*1 -28324*1 -28316*1 -28312*1 -28300*1 -28268*1 -28264*1 -28176*1 -28156*1 -28140*1 -28136*1 -28100*1 -28092*1 -28068*1 -27516*2 -27280*1 -27156*1 -27144*1 -27076*1 -27052*1 -26952*1 -26780*1 -26136*1 -25832*1 -25192*1
4,0,-32336*2 -31436*1 -30752*1 -30580*1 -30344*2 -30336*1 -30256*1 -30220*1 -30168*1 -30124*2 -30100*1 -30080*1 -30028*1 -29956*1 -29560*1 -29524*1 -29500*1 -29492*1 -29108*1 -29072*1 -29056*1 -29024*1 -29016*1 -28996*1 -28980*1 -28968*2 -28948*1 -28692*1 -28676*1 -28668*1 -28636*1 -28572*1 -28560*1 -28556*1 -28520*1 -28504*1 -28488*1 -28412*1 -28324*1 -28316*1 -28312*1 -28300*1 -28268*1 -28264*1 -28176*1 -28156*1 -28140*1 -28100*1 -28092*1 -28068*1 -27516*2 -27368*1 -27280*1 -27156*1 -27076*1 -27052*1 -26952*1 -26856*1 -26780*1 -26136*1 -25832*1 -25192*1 -23828*1
5,0,-32336*2 -31436*1 -30508*1 -30444*1 -30344*2 -30336*1 -30256*1 -30220*1 -30168*1 -30124*1 -30100*1 -30080*1 -30028*1 -29956*1 -29492*1 -29488*1 -29104*1 -29080*1 -29056*1 -29024*1 -29016*1 -28996*1 -28980*1 -28968*3 -28916*1 -28852*1 -28676*1 -28636*1 -28572*1 -28568*1 -28560*1 -28556*1 -28520*1 -28504*1 -28500*1 -28488*1 -28360*1 -28324*1 -28312*1 -28268*1 -28264*1 -28176*1 -28156*1 -28140*1 -28100*1 -28092*1 -28008*1 -27948*1 -27656*1 -27516*2 -27324*1 -27284*1 -27156*1 -27076*1 -27044*1 -26952*1 -26856*1 -26780*1 -26136*1 -25832*2 -25192*1 -23828*1
6,0,-32336*2 -31064*1 -30444*1 -30344*3 -30336*1 -30220*1 -30168*1 -30124*1 -30104*1 -30100*1 -29956*1 -29892*1 -29488*1 -29468*1 -29268*1 -29104*1 -29080*1 -29056*1 -29024*1 -29016*1 -28996*1 -28980*1 -28968*2 -28916*1 -28900*1 -28684*1 -28636*1 -28572*1 -28568*1 -28560*1 -28556*1 -28520*1 -28504*1 -28500*1 -28488*1 -28360*1 -28324*1 -28312*1 -28268*1 -28264*1 -28176*1 -28156*1 -28140*1 -28092*1 -28044*1 -27948*1 -27516*1 -27348*1 -27336*1 -27332*1 -27324*1 -27264*1 -27156*1 -27076*1 -27044*1 -26856*1 -26800*1 -26780*1 -26588*1 -25832*2 -25724*1 -25192*1 -23828*1
7,0,-32336*1 -31844*1 -30544*1 -30444*1 -30344*2 -30336*1 -30220*1 -30104*1 -30100*1 -29956*1 -29880*1 -29672*1 -29668*1 -29488*1 -29468*1 -29180*1 -29104*1 -29080*1 -29056*1 -29024*1 -29016*1 -28996*1 -28980*1 -28968*2 -28916*1 -28900*2 -28684*1 -28624*1 -28572*1 -28568*1 -28556*1 -28520*1 -28504*1 -28500*1 -28488*1 -28324*1 -28312*1 -28268*1 -28264*1 -28176*1 -28140*1 -28092*1 -28044*1 -28028*1 -27980*1 -27948*1 -27756*1 -27516*1 -27348*1 -27336*1 -27332*1 -27324*1 -27264*1 -27076*1 -26800*1 -26744*1 -26612*1 -26588*1 -26480*1 -26036*1 -25832*1 -25724*1 -25192*2 -23828*1
8,0,-31844*2 -30344*2 -30336*1 -30220*1 -30104*1 -30100*1 -30024*1 -29900*1 -29672*1 -29668*1 -29504*1 -29488*1 -29412*1 -29056*1 -29024*1 -29016*1 -28996*1 -28968*2 -28916*1 -28900*2 -28724*1 -28684*1 -28680*1 -28676*1 -28624*1 -28572*1 -28568*1 -28540*1 -28520*1 -28504*1 -28500*1 -28488*1 -28324*1 -28312*1 -28268*1 -28264*1 -28212*1 -28184*1 -28176*1 -28140*1 -28092*1 -28044*1 -28028*1 -27980*1 -27948*1 -27756*1 -27516*1 -27336*1 -27332*1 -27324*1 -27264*1 -27076*1 -26716*1 -26612*1 -26588*1 -26480*1 -26224*1 -26036*1 -26020*1 -25832*1 -25192*3 -23828*1
9,0,-31844*1 -31688*1 -30344*2 -30336*1 -30104*1 -30100*1 -29668*1 -29644*1 -29504*1 -29500*1 -29412*1 -29292*1 -29056*2 -29024*1 -29016*1 -28996*1 -28968*2 -28900*2 -28736*1 -28724*1 -28684*1 -28680*1 -28676*1 -28624*1 -28572*1 -28568*1 -28540*1 -28520*1 -28504*1 -28500*1 -28488*1 -28368*1 -28324*1 -28264*1 -28212*1 -28184*1 -28176*1 -28140*1 -28044*1 -27848*1 -27756*1 -27664*1 -27648*1 -27632*1 -27408*1 -27348*1 -27332*1 -27280*1 -27264*1 -27076*1 -27024*1 -26716*1 -26624*1 -26612*1 -26588*1 -26480*1 -26224*1 -26036*1 -26020*1 -25832*1 -25192*3 -23828*1
10,0,-31844*1 -30604*1 -30344*2 -30336*1 -30104*1 -30100*1 -29644*1 -29500*1 -29380*1 -29088*1 -29056*1 -29016*1 -28996*1 -28968*1 -28924*1 -28900*2 -28736*1 -28724*1 -28684*1 -28680*1 -28668*1 -28624*2 -28612*1 -28572*1 -28568*1 -28540*1 -28520*1 -28508*1 -28504*1 -28500*1 -28488*1 -28376*1 -28368*1 -28252*1 -28212*1 -28184*1 -28176*1 -28140*1 -28108*1 -28044*1 -27848*1 -27756*1 -27664*1 -27648*1 -27632*1 -27348*1 -27280*1 -27264*1 -27024*1 -26900*1 -26800*1 -26780*1 -26716*1 -26624*1 -26612*1 -26224*1 -26036*1 -26020*1 -25964*1 -25832*1 -25192*4 -23828*1
11,0,-31844*1 -30348*1 -30344*2 -30100*1 -29992*1 -29644*1 -29380*1 -29204*1 -29200*1 -29056*1 -29016*1 -28996*1 -28968*1 -28924*1 -28900*2 -28772*1 -28736*1 -28724*1 -28680*1 -28668*1 -28624*2 -28568*1 -28540*1 -28520*1 -28508*1 -28504*1 -28500*1 -28488*1 -28376*1 -28368*1 -28308*1 -28276*1 -28252*1 -28212*1 -28176*1 -28140*1 -28108*1 -28076*1 -28044*1 -27848*1 -27812*1 -27648*1 -27632*1 -27280*2 -27256*1 -27024*1 -26940*1 -26900*1 -26820*1 -26780*1 -26724*1 -26612*1 -26412*1 -26376*1 -26224*1 -26036*1 -26020*1 -25964*1 -25832*1 -25192*4 -23828*1
12,0,-31844*1 -30348*1 -29936*1 -29812*1 -29792*1 -29432*1 -29380*1 -29320*1 -29200*1 -29068*1 -29056*1 -29016*1 -28968*1 -28924*1 -28900*2 -28772*1 -28736*1 -28688*1 -28668*1 -28624*2 -28568*1 -28540*1 -28520*1 -28508*1 -28504*1 -28488*1 -28468*1 -28376*1 -28368*1 -28356*1 -28308*1 -28276*1 -28252*1 -28212*1 -28176*1 -28140*1 -28108*1 -28044*1 -27944*1 -27848*1 -27812*1 -27648*1 -27304*1 -27280*2 -27256*1 -27204*1 -27024*1 -26860*1 -26820*1 -26780*1 -26740*1 -26724*1 -26612*1 -26412*1 -26376*1 -26224*1 -26036*1 -26020*1 -25964*1 -25832*1 -25192*4 -23828*1
13,0,-31844*1 -29864*1 -29720*1 -29692*1 -29432*1 -29380*1 -29320*1 -29200*1 -29068*1 -29056*1 -29016*1 -28968*1 -28924*1 -28900*2 -28772*1 -28688*2 -28668*1 -28624*2 -28540*1 -28520*1 -28504*1 -28488*1 -28460*1 -28440*1 -28376*1 -28368*1 -28356*1 -28308*1 -28276*1 -28264*2 -28252*1 -28212*1 -28176*1 -28140*1 -28108*1 -28044*1 -27944*1 -27388*1 -27280*2 -27256*1 -27204*1 -27124*1 -27104*1 -27024*1 -26860*1 -26780*1 -26740*1 -26724*1 -26612*1 -26468*1 -26412*1 -26376*1 -26320*1 -26224*1 -26036*1 -26020*1 -25964*1 -25832*1 -25192*4 -23828*1
